time,phase,predicted_emotion,predicted_emotion_2nd,sport
1486332284.0,1,27,3,Football
1486334003.0,1,2,3,Football
1486331245.0,1,2,14,Football
1486331128.0,1,3,27,Football
1486331079.0,1,27,25,Football
1486335327.0,1,1,17,Football
1486331116.0,1,27,22,Football
1486331322.0,1,27,7,Football
1486331493.0,1,4,27,Football
1486333108.0,1,1,27,Football
1486331921.0,1,27,6,Football
1486331350.0,1,15,4,Football
1486333151.0,1,7,6,Football
1486332496.0,1,3,20,Football
1486335807.0,1,3,10,Football
1486331094.0,1,27,4,Football
1486333852.0,1,27,10,Football
1486337731.0,1,27,3,Football
1486333320.0,1,27,7,Football
1486335251.0,1,27,5,Football
1486334811.0,1,4,7,Football
1486335576.0,1,27,0,Football
1486336540.0,1,3,22,Football
1486338716.0,1,19,5,Football
1486332607.0,1,4,27,Football
1486331144.0,1,25,16,Football
1486334892.0,1,27,3,Football
1486337045.0,1,10,3,Football
1486331883.0,1,7,27,Football
1486333775.0,1,27,1,Football
1486337425.0,1,27,3,Football
1486334810.0,1,11,27,Football
1486336214.0,1,27,0,Football
1486337234.0,1,27,22,Football
1486337683.0,1,0,17,Football
1486335779.0,1,3,9,Football
1486337915.0,1,27,1,Football
1486331085.0,1,27,3,Football
1486332070.0,1,27,0,Football
1486335392.0,1,27,3,Football
1486331090.0,1,27,4,Football
1486331524.0,1,2,27,Football
1486334782.0,1,27,13,Football
1486334869.0,1,27,26,Football
1486335367.0,1,3,27,Football
1486335402.0,1,27,2,Football
1486336105.0,1,10,4,Football
1486336451.0,1,27,4,Football
1486337210.0,1,27,10,Football
1486337594.0,1,27,1,Football
1486338826.0,1,27,3,Football
1486335354.0,1,6,27,Football
1486331113.0,1,27,4,Football
1486331109.0,1,13,20,Football
1486334901.0,1,10,3,Football
1486337127.0,1,0,27,Football
1486331384.0,1,8,10,Football
1486332749.0,1,7,27,Football
1486332424.0,1,6,7,Football
1486334672.0,1,27,3,Football
1486336490.0,1,27,20,Football
1486336554.0,1,26,27,Football
1486336806.0,1,27,2,Football
1486337671.0,1,27,22,Football
1486337673.0,1,27,3,Football
1486334758.0,1,27,20,Football
1486335539.0,1,27,0,Football
