time,phase,predicted_emotion,predicted_emotion_2nd,sport,category
1486332284,1,27,3,Football,1N
1486334003,1,2,3,Football,1N
1486331245,1,2,14,Football,1U
1486331128,1,3,27,Football,1N
1486331079,1,27,25,Football,1F
1486335327,1,1,17,Football,1N
1486331116,1,27,22,Football,1U
1486331322,1,27,7,Football,1F
1486331493,1,4,27,Football,1N
1486333108,1,1,27,Football,1N
1486331921,1,27,6,Football,1N
1486331350,1,15,4,Football,1N
1486333151,1,7,6,Football,1N
1486332496,1,3,20,Football,1N
1486335807,1,3,10,Football,1N
1486331094,1,27,4,Football,1U
1486333852,1,27,10,Football,1N
1486337731,1,27,3,Football,1N
1486333320,1,27,7,Football,1N
1486335251,1,27,5,Football,1N
1486334811,1,4,7,Football,1N
1486335576,1,27,0,Football,1N
1486336540,1,3,22,Football,1N
1486338716,1,19,5,Football,1N
1486332607,1,4,27,Football,1N
1486331144,1,25,16,Football,1N
1486334892,1,27,3,Football,1N
1486337045,1,10,3,Football,1N
1486331883,1,7,27,Football,1U
1486333775,1,27,1,Football,1N
1486337425,1,27,3,Football,1N
1486334810,1,11,27,Football,1N
1486336214,1,27,0,Football,1F
1486337234,1,27,22,Football,1U
1486337683,1,0,17,Football,1F
1486335779,1,3,9,Football,1N
1486337915,1,27,1,Football,1N
1486331085,1,27,3,Football,1U
1486332070,1,27,0,Football,1N
1486335392,1,27,3,Football,1N
1486331090,1,27,4,Football,1N
1486331524,1,2,27,Football,1U
1486334782,1,27,13,Football,1N
1486334869,1,27,26,Football,1N
1486335367,1,3,27,Football,1N
1486335402,1,27,2,Football,1N
1486336105,1,10,4,Football,1N
1486336451,1,27,4,Football,1F
1486337210,1,27,10,Football,1N
1486337594,1,27,1,Football,1N
1486338826,1,27,3,Football,1N
1486335354,1,6,27,Football,1N
1486331113,1,27,4,Football,1N
1486331109,1,13,20,Football,1N
1486334901,1,10,3,Football,1N
1486337127,1,0,27,Football,1N
1486331384,1,8,10,Football,1N
1486332749,1,7,27,Football,1N
1486332424,1,6,7,Football,1N
1486334672,1,27,3,Football,1N
1486336490,1,27,20,Football,1N
1486336554,1,26,27,Football,1U
1486336806,1,27,2,Football,1N
1486337671,1,27,22,Football,1N
1486337673,1,27,3,Football,1N
1486334758,1,27,20,Football,1N
1486335539,1,27,0,Football,1N
1486336092,1,27,0,Football,1N
1486336925,1,27,0,Football,1F
1486333640,1,2,3,Football,1N
1486335419,1,3,27,Football,1N
1486331462,1,7,27,Football,1N
1486333894,1,7,27,Football,1N
1486336453,1,27,0,Football,1N
1486337078,1,2,3,Football,1F
1486337124,1,1,10,Football,1N
1486337215,1,7,27,Football,1N
1486337330,1,27,0,Football,1N
1486337469,1,21,23,Football,1N
1486336653,1,3,2,Football,1N
1486336966,1,3,11,Football,1N
1486337066,1,27,22,Football,1N
1486337188,1,22,9,Football,1N
1486337453,1,3,27,Football,1N
1486332872,1,27,7,Football,1N
1486334331,1,27,3,Football,1N
1486335224,1,3,9,Football,1N
1486336330,1,3,2,Football,1N
1486332474,1,26,13,Football,1N
1486333575,1,4,17,Football,1N
1486335349,1,7,6,Football,1N
1486335846,1,8,27,Football,1N
1486336246,1,18,17,Football,1N
1486337026,1,27,22,Football,1N
1486337027,1,27,4,Football,1N
1486337072,1,27,3,Football,1N
1486337094,1,27,0,Football,1N
1486337100,1,27,4,Football,1N
1486337303,1,4,0,Football,1N
1486337359,1,7,6,Football,1N
1486337366,1,27,20,Football,1N
1486337460,1,7,27,Football,1N
1486337658,1,27,4,Football,1N
1486338181,1,27,4,Football,1N
1486335373,1,27,10,Football,1N
1486336154,1,1,4,Football,1N
1486332382,1,27,20,Football,1F
1486332985,1,26,7,Football,1N
1486335206,1,27,4,Football,1N
1486335298,1,27,14,Football,1N
1486335921,1,27,22,Football,1N
1486336457,1,27,20,Football,1N
1486336521,1,6,7,Football,1F
1486336631,1,27,22,Football,1N
1486337159,1,1,3,Football,1N
1486337338,1,27,4,Football,1N
1486337544,1,13,1,Football,1N
1486337635,1,27,3,Football,1N
1486338829,1,26,22,Football,1N
1486331122,1,27,4,Football,1U
1486335410,1,27,10,Football,1N
1486331216,1,27,4,Football,1N
1486338911,1,27,10,Football,1N
1486333056,1,6,22,Football,1F
1486333470,1,20,27,Football,1N
1486334336,1,27,10,Football,1N
1486334835,1,0,26,Football,1F
1486334857,1,0,27,Football,1N
1486334882,1,27,3,Football,1N
1486335158,1,12,11,Football,1N
1486335292,1,27,22,Football,1N
1486335645,1,27,3,Football,1N
1486336200,1,4,0,Football,1N
1486336353,1,7,27,Football,1F
1486336748,1,4,27,Football,1F
1486336776,1,3,22,Football,1F
1486337039,1,6,7,Football,1F
1486337078,1,27,9,Football,1N
